"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"Anisakis -somatic mutation type\"Forza\"-[L]","0.815885969414573","0.0567801627925657","14.369207999548","5.27961542303363e-08"
"anthracene[A]","0.825558008824831","0.0509014176780295","16.2187625902051","1.64679142361564e-08"
"Antigravity[A]","0.934520985323056","0.0335787286622511","27.8307435258452","8.32369248792958e-11"
"AO-1[A]","0.674439959689905","0.0639285107914357","10.5499088175265","9.71105592880524e-07"
"Apocalypse[A]","0.8455491811135","0.0176640271186912","47.8684263464916","3.81892212711342e-13"
"Arabian Rave Night[L]","0.785266368007857","0.0363311736961012","21.6141205504772","1.00360133205765e-09"
"Arca[A]","0.589913784655535","0.05597588584055","10.5387128010074","9.80682980402709e-07"
"Arkadia[A]","0.758780605270518","0.045587501448705","16.6444876590637","1.28173418830386e-08"
"Artist[A]","1.02975096958242","0.0341984475186232","30.1110443397075","3.81950546150357e-11"
"ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)[A]","0.891361902831326","0.0318099018167781","28.0215232340383","7.78020611092784e-11"
"ATHER[L]","0.696405099936609","0.0597252312676494","11.6601490719354","3.82584754142498e-07"
"A[A]","0.664739045385716","0.0507615821982357","13.0953176910396","1.27963594267579e-07"
"B.O.D.Y.[A]","0.950782236248106","0.0414705522247189","22.9266837609504","5.62562431575147e-10"
"B4U(BEMANI FOR YOU MIX)[L]","1.02739461744144","0.026954094856674","38.1164577369236","3.68401160432496e-12"
"Bad Encryption[A]","0.925164341084294","0.0465383999995595","19.8795906411276","2.27655384218558e-09"
"Bad Maniacs[A]","0.824825392614028","0.0643343792634661","12.8209116503037","1.56428171194248e-07"
"Be quiet[L]","0.724574317888201","0.0409648970459553","17.6876879996881","7.10803245758802e-09"
"BEAT PRISONER[A]","1.03094803607404","0.0398995052229393","25.8386170533594","1.73305324680152e-10"
"Beat Radiance[L]","0.937319525863275","0.0483600210516052","19.3821157534869","2.91599807219977e-09"
"Beyond Evolution[A]","0.910443544843753","0.0454341184029418","20.0387633093108","2.10581803536292e-09"
"BIGWAVERS[A]","0.824827879355232","0.0351076688372936","23.4942366346764","4.42328263951049e-10"
"BIGソムタム[A]","0.730158972883925","0.0658949986868416","11.0806432572208","6.15916468535474e-07"
"Binary Black Hole[A]","0.750382580871412","0.0440363990155643","17.0400531752425","1.0208899541656e-08"
"BITTER CHOCOLATE STRIKER[A]","0.896947131980005","0.0490492103945382","18.2866783127641","5.14150324830777e-09"
"BLACK or WHITE?[A]","0.755470294475311","0.0506146946165841","14.9259083789429","3.666648078061e-08"
"BLACK.by X-Cross Fade[A]","0.810628741214359","0.0547774934472884","14.7985731036492","3.98107542896056e-08"
"BLUE DRAGON(雷龍RemixIIDX)[A]","0.636533975831371","0.0587995041332945","10.8254990448285","7.64801085052351e-07"
"BLUE MIRAGE[A]","0.773931633806853","0.0505146937406564","15.3209210330015","2.85225060382179e-08"
"Blue Rain[L]","0.895715419611019","0.0448049158057513","19.991454140754","2.15504779902774e-09"
"Blue Spring Express[A]","0.90430282845083","0.049753180154652","18.1757794303783","5.4550705076643e-09"
"Boomy and The Boost[A]","0.753936988321919","0.0437102014025133","17.248536134143","9.07318090083297e-09"
"BroGamer[L]","0.935724833885108","0.0647190569330826","14.4582581735178","4.97623638443807e-08"
"Broken Sword[A]","0.952783210247374","0.0555559021346173","17.1499907955538","9.59172912418858e-09"
"Broken[A]","0.626632251288438","0.0672825790332938","9.31343982783952","3.03855966401073e-06"
"Burning Flame[L]","0.781669815877064","0.0460763448488214","16.9646663258937","1.06572395364474e-08"
"Candy Galy[A]","0.817082258060866","0.0341032456395763","23.9590761154022","3.64770081300033e-10"
"Carmina[A]","0.864703235833694","0.0460017585098967","18.7971778437049","3.93198636571546e-09"
"Carry Me Away[A]","0.683608434177475","0.0568918080401409","12.0159379307324","2.88516728814307e-07"
"Catch Our Fire![A]","0.649168810635629","0.0546503458761865","11.8785855830878","3.21441014573294e-07"
"Caterpillar[A]","0.698667487141811","0.045001583022238","15.5253980020338","2.51038033240052e-08"
"Chaotoxin[A]","0.791340152068927","0.0463211894463744","17.0837614820978","9.95846100868224e-09"
"CHRONO DIVER -NORNIR-[L]","0.931386683844729","0.0477331807019713","19.5123532550653","2.73142689998135e-09"
"Chrono Diver -PENDULUMs-[A]","0.958728577402415","0.0476743562872607","20.1099427882281","2.03405904221389e-09"
"cinder[A]","0.711435670183956","0.0471635584426139","15.0844358160463","3.31265204235997e-08"
"Close the World feat.a☆ru[A]","0.912687941175504","0.0287690375381251","31.7246602346706","2.27745454475047e-11"
"Close the World feat.a☆ru[L]","0.803757224298172","0.0512679027962859","15.6775912502588","2.28510892940927e-08"
"CODE:1 [revision1.0.1][A]","0.743815444270178","0.0457379367760651","16.2625491375339","1.60443376287325e-08"
"Colorful Cookie[A]","0.858222900567319","0.0559155204602221","15.3485632165018","2.80318664852356e-08"
"Colors (radio edit)[A]","0.829939557349216","0.0716987923603237","11.5753631271548","4.09653434867189e-07"
"Concertino in Blue[A]","0.782113835940337","0.043717681881002","17.8901030953385","6.36384966812752e-09"
"Confiserie[A]","0.916619094914975","0.0507481090073285","18.0621330103671","5.79831834774302e-09"
"CONTRACT[L]","0.658142748442532","0.05422102247271","12.1381471323928","2.62307510563931e-07"
"Cosmic Cat[L]","0.756154850795084","0.044180461254233","17.1151416107643","9.78281748296319e-09"
"COSMIC RAY[A]","0.738352660871914","0.0335656710674665","21.9972560473419","8.44681891971797e-10"
"Dances with Snow Fairies[A]","0.79187999408781","0.0619226294036169","12.7882165488528","1.60257903636627e-07"
"Dans la nuit de l'eternite[A]","1.01599956169683","0.0514654635844556","19.7413855998705","2.43716912629547e-09"
"DARK LEGACY[A]","0.849204880370785","0.0467401361242662","18.1686437136819","5.47595357564117e-09"
"dAuntl3ss[A]","0.878371750264162","0.0233889497564145","37.5549889760769","4.26933310199001e-12"
"DAY DREAM[A]","0.797640657739336","0.0633299628722945","12.5949964529079","1.85094316951203e-07"
"DEADHEAT[A]","0.819460567416695","0.0291714555957245","28.0911785401891","7.59159276953861e-11"
"DEATH†ZIGOQ ～怒りの高速爆走野郎～[A]","0.728155603101193","0.05577883600548","13.0543348561389","1.318284822359e-07"
"Despair of ELFERIA[A]","0.897637919194896","0.047044970334068","19.0804226853739","3.39839804009896e-09"
"Devilz Staircase[A]","0.779466607861655","0.0493264602683995","15.8022003529212","2.1171325824553e-08"
"Devil's Gear[A]","0.921067792748481","0.0268051755331166","34.3615654227126","1.03176973633596e-11"
"DIAMOND CROSSING[A]","1.00122603992667","0.0295309909030801","33.9042480224476","1.1784659020479e-11"
